Designator,Mid X,Mid Y,Rotation,Layer
SWb3,120.205,-79.248,0.0,bottom
SWb4,139.255,-79.248,0.0,bottom
SWb5,158.305,-79.248,0.0,bottom
SWb6,177.355,-79.248,0.0,bottom
SWc1,79.72375,-98.298,0.0,bottom
SWc2,105.9175,-98.298,0.0,bottom
SWc3,124.968,-98.298,0.0,bottom
SWc4,144.018,-98.298,0.0,bottom
SWc5,163.068,-98.298,0.0,bottom
SWc6,182.118,-98.298,0.0,bottom
SWcx1,74.96125,-98.298,180.0,bottom
SWd1,74.96125,-117.348,0.0,bottom
SWd2,96.3925,-117.348,0.0,bottom
SWd3,115.4425,-117.348,0.0,bottom
SWd4,134.4925,-117.348,0.0,bottom
SWd5,153.5425,-117.348,0.0,bottom
SWd6,172.5925,-117.348,0.0,bottom
SWd7,191.643,-117.348,0.0,bottom
SWdx1,84.453,-117.348,180.0,bottom
SWe1,74.96125,-136.398,0.0,bottom
SWe2,98.77375,-136.398,0.0,bottom
SWe3,122.58625,-136.398,0.0,bottom
SWe4,146.39875,-136.398,0.0,bottom
SWe6,179.73625,-136.398,0.0,bottom
U1,187.7,-133.4,135.0,bottom
U10,196.2,-127.5,270.0,bottom
U11,182.3,-48.8,0.0,bottom
U2,81.4,-43.8,270.0,bottom
U3,99.443,-44.663,225.0,bottom
U4,149.2,-40.2,0.0,bottom
U5,67.3,-43.6,180.0,bottom
U6,71.0,-48.003,90.0,bottom
U7,159.1,-40.2,0.0,bottom
U8,124.4,-45.2,270.0,bottom
U9,159.8,-48.5,0.0,bottom
Y1,113.5,-42.0,180.0,bottom
